,Vendor,Type_of_Spend,Brand,PO_Number,PO_Amount,Invoice_Amount,Difference,Date_Opened
1437,Pinterest Inc,E-Commerce,Space Wars,81808163,149936,64575,85361,2022-11-14
569,TikTok Inc,Media Supported Asset,GI-Bro,11067666,149917,92125,57792,2022-10-19
4052,The Martingale Agency,Influencer,Space Wars,27684641,149788,34045,115743,2022-10-15
810,Meta Platforms,Brand Asset Development,Merf,75874795,149770,51463,98307,2022-11-07
3723,The Martingale Agency,Media Supported Asset,Merf,94171053,149678,12350,137328,2022-10-24
903,TikTok Inc,Media Supported Asset,Transmorphers,20466466,149659,2718,146941,2022-12-29
420,KYG Antler LLC,Media Supported Asset,GI-Bro,81645499,149631,9422,140209,2022-12-03
1100,KYG Antler LLC,Media Supported Asset,Merf,25872075,149534,91467,58067,2022-10-17
4703,Disney Studios,Brand Asset Development,GI-Bro,29580018,149510,46159,103351,2022-10-19
3957,TikTok Inc,Influencer,Space Wars,39617052,149446,14123,135323,2022-11-18
3052,The Martingale Agency,Media Supported Asset,Space Wars,23938424,149329,10861,138468,2022-10-29
953,TikTok Inc,Influencer,Transmorphers,84785157,149312,57915,91397,2022-12-24
353,Disney Studios,Influencer,GI-Bro,24716937,149205,20149,129056,2022-11-11
4479,The Martingale Agency,Media Supported Asset,GI-Bro,96449072,149116,6535,142581,2022-10-08
2431,Pinterest Inc,E-Commerce,Clay-Dough,86851616,149111,23664,125447,2022-12-12
1496,Google Inc.,Brand Publicity,Clay-Dough,35605548,149041,59848,89193,2022-12-07
4681,Google Inc.,Influencer,Space Wars,66127282,148944,82487,66457,2022-10-25
4385,TikTok Inc,E-Commerce,GI-Bro,52699234,148812,64014,84798,2022-11-29
1893,TikTok Inc,Brand Asset Development,GI-Bro,93275368,148678,54830,93848,2022-10-14
4696,Pinterest Inc,Influencer,GI-Bro,22164920,148498,84618,63880,2022-12-05
4844,The Martingale Agency,Influencer,Space Wars,50883218,148495,2243,146252,2022-12-11
777,Google Inc.,Brand Asset Development,Transmorphers,60792112,148475,8576,139899,2022-10-22
2436,Google Inc.,Influencer,Transmorphers,60543391,148467,25162,123305,2022-10-20
1970,KYG Antler LLC,Media Supported Asset,Merf,95263645,148420,90851,57569,2022-11-05
2852,Pinterest Inc,Influencer,Transmorphers,85863727,148375,92578,55797,2022-11-25
1161,Disney Studios,E-Commerce,Merf,15250491,148345,82655,65690,2022-11-29
1714,TikTok Inc,Brand Asset Development,GI-Bro,12410748,148335,64017,84318,2022-10-05
680,Nintendo Technologies,Influencer,Space Wars,25028848,148318,8882,139436,2022-12-24
3401,Pinterest Inc,Media Supported Asset,Merf,78545381,148080,24682,123398,2022-10-24
1233,Disney Studios,Brand Asset Development,Transmorphers,60750354,147981,26605,121376,2022-10-31
3336,Pinterest Inc,Brand Asset Development,Transmorphers,99724520,147964,30207,117757,2022-12-29
3025,Pinterest Inc,E-Commerce,Space Wars,37811854,147953,55723,92230,2022-11-08
2391,Pinterest Inc,Influencer,Merf,63549143,147881,33733,114148,2022-12-24
649,The Martingale Agency,Media Supported Asset,Clay-Dough,18507084,147854,81139,66715,2022-12-25
4877,Disney Studios,Media Supported Asset,Merf,63327997,147643,24332,123311,2022-11-16
33,TikTok Inc,Brand Asset Development,Space Wars,40066388,147473,77533,69940,2022-10-12
2203,Pinterest Inc,Media Supported Asset,Clay-Dough,34670479,147341,64177,83164,2022-12-26
402,Pinterest Inc,E-Commerce,Transmorphers,73151072,147305,61090,86215,2022-12-25
1715,Pinterest Inc,Influencer,Clay-Dough,73635101,147091,49740,97351,2022-11-22
142,KYG Antler LLC,Influencer,Clay-Dough,49136816,147080,87243,59837,2022-10-16
1668,TikTok Inc,Media Supported Asset,Space Wars,86397187,147066,33461,113605,2022-11-27
1234,Pinterest Inc,E-Commerce,Clay-Dough,33399281,147052,5386,141666,2022-10-28
2789,KYG Antler LLC,Brand Asset Development,Transmorphers,76439700,147049,88686,58363,2022-12-22
2189,The Martingale Agency,Brand Asset Development,GI-Bro,92467939,147025,27482,119543,2022-10-05
3573,The Martingale Agency,E-Commerce,Clay-Dough,39511490,146994,11537,135457,2022-10-28
